,lat,lng,counts
230,42.3314,-83.0,20
231,31.9552,35.945,20
232,43.2567,76.9286,19
233,12.2451,109.1943,19
234,48.4827,135.0838,19
235,19.1167,72.9833,19
236,11.0055,76.9661,19
237,56.7333,37.1667,19
238,8.4855,76.9492,19
239,45.5946,-121.0,19
240,53.3606,83.7636,19
241,9.9399,76.2602,19
242,44.804,20.4651,19
243,33.5883,-7.0,19
244,50.2667,8.45,19
245,32.2211,35.2544,19
246,33.6013,-111.0,18
247,20.6668,-103.0,18
248,48.7823,9.177,18
249,11.5625,104.916,18
250,38.6273,-90.0,18
251,10.0124,105.0809,18
252,40.6443,-8.0,18
253,49.9808,36.2527,18
254,25.9714,119.6457,18
255,5.3544,-4.0,18
256,21.3087,76.2303,18
257,1.3558,103.8232,18
258,51.5,0.0,18
259,35.8219,127.1489,18
260,49.1166,10.7597,17
261,4.6357,-74.0,17
262,46.4857,30.7438,17
263,13.0489,80.1149,17
264,26.0614,119.3061,17
265,45.0705,7.6868,17
266,37.4989,126.7831,17
267,25.2855,51.531,17
268,37.2911,127.0089,16
269,36.5924,127.2922,16
270,23.9157,120.6639,16
271,52.4245,10.7815,16
272,11.5643,108.9886,16
273,13.5137,2.1098,16
274,5.4112,100.3354,16
275,1.1496,103.8916,16
276,42.87,74.59,16
277,38.7071,-121.0,16
278,37.7742,29.0875,16
279,49.0094,8.4044,16
280,10.9447,106.8243,16
281,8.4333,99.9667,16
282,50.4267,80.2667,16
283,32.553,-92.0,16
284,52.4069,16.9299,15
285,52.6031,39.5708,15
286,48.073,19.2961,15
287,35.1547,126.9156,15
288,35.5372,129.3167,15
289,18.7904,98.9847,15
290,21.4901,39.1862,15
291,53.2001,50.15,15
292,18.4719,-69.0,15
293,25.0389,102.7183,15
294,37.3925,126.9269,15
295,33.8359,-118.0,15
296,54.6892,25.2798,15
297,43.0457,1.6281,15
298,19.0323,73.0428,15
299,3.5394,-76.0,14
300,39.9523,-75.0,14
301,26.8393,80.9231,14
302,43.88,125.3228,14
303,29.4241,-98.0,14
304,54.9924,73.3686,14
305,43.8486,18.3564,14
306,61.25,73.4167,14
307,61.0587,28.1887,14
308,31.1302,104.382,14
309,19.9086,99.8325,14
310,33.4665,-111.0,14
311,15.1205,108.7923,14
312,35.6699,-81.0,14
313,55.154,61.4291,14
314,3.0333,101.75,14
315,34.9763,128.3236,14
316,45.5229,-122.0,14
317,64.1355,-21.0,14
318,32.7157,-117.0,13
319,51.8428,4.1503,13
320,40.7895,-74.0,13
321,40.7357,-74.0,13
322,51.7727,55.0988,13
323,37.2068,126.8169,13
324,14.6042,120.9822,13
325,45.75,126.65,13
326,36.7323,3.0875,13
327,43.25,76.9167,13
328,14.8818,103.4936,13
329,35.8327,50.9915,13
330,43.2627,-2.0,13
331,54.7431,55.9678,12
332,28.0317,110.9544,12
333,21.1959,72.8302,12
334,29.3328,48.0286,12
335,45.8833,16.4217,12
336,56.0184,92.8672,12
337,45.7485,4.8467,12
338,21.5942,105.8482,12
339,40.919,110.3831,12
340,35.4333,139.65,12
341,24.4353,98.5837,12
342,48.1482,17.1067,12
343,42.9764,47.5024,12
344,24.8036,120.9686,12
345,38.9984,112.0114,12
346,39.0373,-77.0,12
347,30.7522,120.75,12
348,57.1522,65.5272,12
349,23.018,113.7487,12
350,24.4512,54.397,12
351,51.965,6.2889,12
352,60.6745,17.1417,12
353,35.7167,140.2333,12
354,57.6299,39.8737,12
355,24.5858,73.7135,12
356,64.4165,40.8122,11
357,0.5167,101.4417,11
358,45.4672,7.8762,11
359,31.558,74.3507,11
360,41.1496,-8.0,11
361,14.3545,108.0076,11
362,51.1854,6.4417,11
363,51.495,6.1569,11
364,22.6266,120.3613,11
365,7.2119,125.4422,11
366,31.8972,54.3675,11
367,4.5339,-75.0,11
368,44.4048,8.9444,11
369,29.4159,121.3397,11
370,35.6823,139.7198,11
371,37.6367,127.2142,11
372,18.6734,105.6923,11
373,52.5259,5.7235,11
374,39.7392,-104.0,11
375,39.4697,0.0,11
376,12.6675,108.0378,11
377,10.6666,-71.0,11
378,21.1861,106.0763,11
379,10.9051,106.6995,11
380,51.7706,19.4739,11
381,46.3497,48.0408,11
382,20.5881,-100.0,11
383,37.3179,-121.0,11
384,46.0511,14.5051,11
385,24.0733,120.5628,11
386,48.8157,2.3849,11
387,37.3998,126.7998,10
388,47.8517,35.1171,10
389,25.6751,-100.0,10
390,31.2018,29.9158,10
391,14.9707,102.102,10
392,5.327,100.2735,10
393,42.3584,-71.0,10
