,datetime,lat,lng,counts,date
0,2021-08-15 00:04:04,13.2257,77.575,1,2021-08-15
1,2021-08-15 00:05:00,39.0437,-77.0,1,2021-08-15
2,2021-08-15 00:05:11,6.4541,3.3947,1,2021-08-15
3,2021-08-15 00:05:28,39.9075,116.3972,1,2021-08-15
4,2021-08-15 00:09:42,12.9719,77.5937,1,2021-08-15
5,2021-08-15 00:17:45,1.3215,103.6957,1,2021-08-15
6,2021-08-15 00:22:08,39.9075,116.3972,1,2021-08-15
7,2021-08-15 00:22:48,22.2783,114.1747,1,2021-08-15
8,2021-08-15 00:23:36,38.132,13.3356,1,2021-08-15
9,2021-08-15 00:24:57,51.9942,4.2097,1,2021-08-15
10,2021-08-15 00:27:38,39.9075,116.3972,1,2021-08-15
11,2021-08-15 00:29:49,12.9719,77.5937,1,2021-08-15
12,2021-08-15 00:33:08,31.2222,121.4581,1,2021-08-15
13,2021-08-15 00:47:41,40.7143,-74.0,1,2021-08-15
14,2021-08-15 00:47:56,12.1328,-86.0,1,2021-08-15
15,2021-08-15 00:58:33,40.0334,-83.0,1,2021-08-15
16,2021-08-15 00:59:54,34.0522,-118.0,1,2021-08-15
17,2021-08-15 01:00:04,13.658,102.5636,1,2021-08-15
18,2021-08-15 01:00:51,10.823,106.6296,1,2021-08-15
19,2021-08-15 01:03:52,37.3893,-122.0,1,2021-08-15
20,2021-08-15 01:09:12,40.8043,-74.0,1,2021-08-15
21,2021-08-15 01:14:43,23.1167,113.25,1,2021-08-15
22,2021-08-15 01:17:12,37.3893,-122.0,1,2021-08-15
23,2021-08-15 01:17:26,22.2783,114.1747,1,2021-08-15
24,2021-08-15 01:18:17,37.3924,-121.0,1,2021-08-15
25,2021-08-15 01:19:31,1.3215,103.6957,1,2021-08-15
26,2021-08-15 01:22:42,12.9719,77.5937,1,2021-08-15
27,2021-08-15 01:23:53,45.5234,-122.0,1,2021-08-15
28,2021-08-15 01:24:02,49.6556,21.1604,1,2021-08-15
29,2021-08-15 01:26:17,22.5231,113.3791,1,2021-08-15
30,2021-08-15 01:30:26,18.4719,-69.0,1,2021-08-15
31,2021-08-15 01:34:19,49.6556,21.1604,1,2021-08-15
32,2021-08-15 01:39:30,40.7402,-73.0,1,2021-08-15
33,2021-08-15 01:41:39,17.997,-76.0,1,2021-08-15
34,2021-08-15 01:42:18,49.6117,6.13,1,2021-08-15
35,2021-08-15 01:42:35,23.1167,113.25,1,2021-08-15
36,2021-08-15 01:43:03,39.9075,116.3972,1,2021-08-15
37,2021-08-15 01:43:32,40.8344,-74.0,1,2021-08-15
38,2021-08-15 01:44:02,32.0617,118.7778,1,2021-08-15
39,2021-08-15 01:44:06,37.3058,-78.0,1,2021-08-15
40,2021-08-15 01:49:20,3.1412,101.6865,1,2021-08-15
41,2021-08-15 01:52:42,36.175,-115.0,1,2021-08-15
42,2021-08-15 02:05:27,21.0245,105.8412,1,2021-08-15
43,2021-08-15 02:06:01,30.2936,120.1614,1,2021-08-15
44,2021-08-15 02:06:46,39.9075,116.3972,1,2021-08-15
45,2021-08-15 02:07:25,23.1167,113.25,1,2021-08-15
46,2021-08-15 02:08:55,30.0094,31.2086,1,2021-08-15
47,2021-08-15 02:10:52,39.9075,116.3972,1,2021-08-15
48,2021-08-15 02:11:48,21.0245,105.8412,1,2021-08-15
49,2021-08-15 02:15:00,15.5042,-88.0,1,2021-08-15
50,2021-08-15 02:16:56,1.3215,103.6957,1,2021-08-15
51,2021-08-15 02:18:57,30.0094,31.2086,1,2021-08-15
52,2021-08-15 02:19:27,23.1167,113.25,1,2021-08-15
53,2021-08-15 02:19:41,48.1958,-114.0,1,2021-08-15
54,2021-08-15 02:23:10,30.2936,120.1614,1,2021-08-15
55,2021-08-15 02:24:51,23.1167,113.25,1,2021-08-15
56,2021-08-15 02:25:39,22.2783,114.1747,1,2021-08-15
57,2021-08-15 02:26:01,40.8043,-74.0,1,2021-08-15
58,2021-08-15 02:39:02,30.0094,31.2086,1,2021-08-15
59,2021-08-15 02:39:06,34.0443,-118.0,1,2021-08-15
60,2021-08-15 02:39:08,39.9075,116.3972,1,2021-08-15
61,2021-08-15 02:39:15,3.1412,101.6865,1,2021-08-15
62,2021-08-15 02:40:02,22.2783,114.1747,1,2021-08-15
63,2021-08-15 02:41:06,39.9075,116.3972,1,2021-08-15
64,2021-08-15 02:41:28,1.3215,103.6957,1,2021-08-15
65,2021-08-15 02:42:02,22.5455,114.0683,1,2021-08-15
66,2021-08-15 02:45:55,22.5626,88.363,1,2021-08-15
67,2021-08-15 02:46:01,37.3058,-78.0,1,2021-08-15
